intended_emotion,strategy,target_emotion,count,total,proportion,ci_low,ci_high
joy,Validate,joy,16,20,0.8,0.5839782779742402,0.9193436467288001
joy,Validate,surprise,3,20,0.15,0.05236779195949582,0.36042329588695743
joy,Validate,anger,1,20,0.05,0.008881219432873143,0.23613589351256678
joy,baseline,joy,18,20,0.9,0.6989617935882066,0.9721341060158467
joy,baseline,surprise,2,20,0.1,0.027865893984153196,0.30103820641179335
neutral,Affirm,joy,19,20,0.95,0.7638641064874331,0.9911187805671267
neutral,Affirm,neutral,1,20,0.05,0.008881219432873143,0.23613589351256678
neutral,Explore,joy,13,20,0.65,0.43285051021946475,0.8188104521320554
neutral,Explore,neutral,5,20,0.25,0.11186005278940306,0.4687050099580635
neutral,Explore,sadness,1,20,0.05,0.008881219432873143,0.23613589351256678
neutral,Explore,surprise,1,20,0.05,0.008881219432873143,0.23613589351256678
neutral,Guide,joy,15,20,0.75,0.5312949900419365,0.888139947210597
neutral,Guide,neutral,5,20,0.25,0.11186005278940306,0.4687050099580635
neutral,Normalize,joy,14,20,0.7,0.4810232237710205,0.8545247260310062
neutral,Normalize,neutral,3,20,0.15,0.05236779195949582,0.36042329588695743
neutral,Normalize,sadness,2,20,0.1,0.027865893984153196,0.30103820641179335
neutral,Normalize,surprise,1,20,0.05,0.008881219432873143,0.23613589351256678
neutral,Reframe,joy,11,20,0.55,0.34208200830759966,0.741804979142907
neutral,Reframe,neutral,8,20,0.4,0.21880396741419272,0.613422057684794
neutral,Reframe,sadness,1,20,0.05,0.008881219432873143,0.23613589351256678
neutral,Validate,joy,10,20,0.5,0.2992949144298199,0.70070508557018
neutral,Validate,neutral,9,20,0.45,0.25819502085709295,0.6579179916924003
neutral,Validate,sadness,1,20,0.05,0.008881219432873143,0.23613589351256678
neutral,baseline,joy,19,20,0.95,0.7638641064874331,0.9911187805671267
neutral,baseline,neutral,1,20,0.05,0.008881219432873143,0.23613589351256678
sadness,Affirm,sadness,17,20,0.85,0.6395767041130426,0.9476322080405041
sadness,Affirm,surprise,1,20,0.05,0.008881219432873143,0.23613589351256678
sadness,Affirm,joy,1,20,0.05,0.008881219432873143,0.23613589351256678
sadness,Affirm,fear,1,20,0.05,0.008881219432873143,0.23613589351256678
sadness,Explore,sadness,15,20,0.75,0.5312949900419365,0.888139947210597
sadness,Explore,neutral,4,20,0.2,0.08065635327119998,0.4160217220257599
sadness,Explore,joy,1,20,0.05,0.008881219432873143,0.23613589351256678
sadness,Guide,sadness,9,20,0.45,0.25819502085709295,0.6579179916924003
sadness,Guide,neutral,4,20,0.2,0.08065635327119998,0.4160217220257599
sadness,Guide,joy,4,20,0.2,0.08065635327119998,0.4160217220257599
sadness,Guide,fear,3,20,0.15,0.05236779195949582,0.36042329588695743
sadness,Normalize,sadness,12,20,0.6,0.38657794231520604,0.7811960325858073
sadness,Normalize,fear,5,20,0.25,0.11186005278940306,0.4687050099580635
sadness,Normalize,joy,2,20,0.1,0.027865893984153196,0.30103820641179335
sadness,Normalize,surprise,1,20,0.05,0.008881219432873143,0.23613589351256678
sadness,Reframe,sadness,17,20,0.85,0.6395767041130426,0.9476322080405041
sadness,Reframe,joy,1,20,0.05,0.008881219432873143,0.23613589351256678
sadness,Reframe,neutral,1,20,0.05,0.008881219432873143,0.23613589351256678
sadness,Reframe,surprise,1,20,0.05,0.008881219432873143,0.23613589351256678
sadness,Validate,sadness,13,20,0.65,0.43285051021946475,0.8188104521320554
sadness,Validate,surprise,3,20,0.15,0.05236779195949582,0.36042329588695743
sadness,Validate,fear,2,20,0.1,0.027865893984153196,0.30103820641179335
sadness,Validate,joy,2,20,0.1,0.027865893984153196,0.30103820641179335
sadness,baseline,sadness,11,20,0.55,0.34208200830759966,0.741804979142907
sadness,baseline,joy,4,20,0.2,0.08065635327119998,0.4160217220257599
sadness,baseline,neutral,3,20,0.15,0.05236779195949582,0.36042329588695743
sadness,baseline,fear,1,20,0.05,0.008881219432873143,0.23613589351256678
sadness,baseline,surprise,1,20,0.05,0.008881219432873143,0.23613589351256678
surprise,Affirm,surprise,10,20,0.5,0.2992949144298199,0.70070508557018
surprise,Affirm,joy,8,20,0.4,0.21880396741419272,0.613422057684794
surprise,Affirm,anger,2,20,0.1,0.027865893984153196,0.30103820641179335
surprise,Explore,surprise,19,20,0.95,0.7638641064874331,0.9911187805671267
surprise,Explore,joy,1,20,0.05,0.008881219432873143,0.23613589351256678
surprise,Guide,surprise,18,20,0.9,0.6989617935882066,0.9721341060158467
surprise,Guide,joy,1,20,0.05,0.008881219432873143,0.23613589351256678
surprise,Guide,fear,1,20,0.05,0.008881219432873143,0.23613589351256678
surprise,Normalize,surprise,16,20,0.8,0.5839782779742402,0.9193436467288001
surprise,Normalize,joy,4,20,0.2,0.08065635327119998,0.4160217220257599
surprise,Reframe,surprise,19,20,0.95,0.7638641064874331,0.9911187805671267
surprise,Reframe,joy,1,20,0.05,0.008881219432873143,0.23613589351256678
surprise,Validate,surprise,20,20,1.0,0.8388698745050667,0.9999999999999998
surprise,baseline,surprise,13,20,0.65,0.43285051021946475,0.8188104521320554
surprise,baseline,joy,6,20,0.3,0.14547527396899385,0.5189767762289793
surprise,baseline,disgust,1,20,0.05,0.008881219432873143,0.23613589351256678
